Type,Region,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020
Confirmed,Western Pacific Region,91779,91845,92333,93349,94037,94787,95637,96580,97766,99058,100018,101443,102788,103775,104868,106422,107626,108930,110362,111396,112522,113641,114667,115852,117247,118549,120116,121426,122805,124204,125571,127595,129256,131115,132438,134506,136271,137902,139782,141469,142639,144121,145385,146449,147743,148838,150403,151444,152773,153868,154884,156184,157447,158544,159662,160910,161872,163201,164282,165550,166721,167546,168515,169178,169955,170910,171748,172696,173621,174548,175397,176404,177460,178502,180446,181665,183198,184305,185358,186853,188393,189030,190236,191275,192335,193178,194470,195487,196715,197864,198995,199922,200586,201462,202489
Deaths,Western Pacific Region,3357,3357,3377,3405,3426,3438,3473,3502,3518,3540,3567,3592,3626,3649,3671,3701,3723,3760,3809,3838,3861,3892,3922,3944,3978,4017,4058,4125,4161,4201,4239,5558,5598,5621,5648,5685,5793,5818,5869,5906,5943,5958,5998,6037,6094,6127,6166,6229,6258,6287,6327,6361,6394,6448,6470,6493,6527,6578,6622,6664,6697,6730,6743,6765,6780,6793,6817,6844,6863,6879,6902,6927,6957,6981,7014,7028,7037,7044,7057,7067,7081,7092,7103,7112,7121,7132,7144,7156,7175,7200,7215,7228,7239,7249,7257
Confirmed,European Region,64188,74760,87108,104591,128541,151293,171424,195509,220516,250287,286697,324343,361031,392815,423946,464212,503006,541808,583141,621407,655339,686338,720219,759661,799696,839257,880106,913349,943272,977596,1013093,1050871,1086889,1122189,1149071,1187184,1219486,1251458,1284216,1314666,1341851,1359380,1386693,1406899,1434649,1461404,1492024,1518895,1544145,1566684,1593828,1626037,1654345,1682338,1707946,1731606,1755790,1780316,1801668,1826295,1848445,1870545,1890467,1909592,1928799,1946610,1966244,1987657,2006984,2025176,2041705,2061828,2079924,2102574,2122350,2142547,2159791,2175941,2191614,2211148,2230706,2249999,2268311,2286560,2303361,2321147,2339145,2358953,2378958,2398779,2416920,2434184,2452247,2471792,2490815
Deaths,European Region,3108,3352,4084,4899,6000,7425,8742,10189,11986,13950,16105,18740,21427,23962,26694,30089,33604,37103,42334,46416,49479,52809,57639,61516,66213,70565,74237,77419,80712,84607,89317,93480,97201,100938,103586,106342,109952,113336,116523,119463,122218,124525,126429,129311,135961,138200,140586,142667,143987,145602,147780,150238,152179,154233,155552,156603,157880,159799,161413,163277,164723,165951,167173,167998,169033,170283,171327,172958,173886,174429,173213,176226,177331,178378,179353,180085,180594,182416,183313,182308,182165,183128,183732,184120,184671,185537,186326,186889,187468,188001,188350,188779,189582,190304,190903
Confirmed,South-East Asia Region,508,538,657,918,979,1257,1776,1990,2344,2536,2932,3085,3709,4084,4215,5175,5324,5881,6528,7816,8828,9132,10707,11576,12978,14161,16041,16883,18663,20287,21790,23560,25291,27319,29576,31670,33912,36039,38572,41073,43846,46060,48348,51351,54021,57088,60490,64047,67673,72688,76998,81808,86294,90808,95314,100881,105901,110932,116617,122254,127995,134531,141593,148761,156211,164225,173159,182278,191966,201207,210273,218523,227611,238080,249525,260579,272512,283845,296620,309597,322863,336577,350542,364196,378118,392674,407414,422825,439348,455439,471392,486673,503034,521582,541041
Deaths,South-East Asia Region,9,9,23,,38,45,58,65,72,79,105,114,139,158,166,195,216,245,267,302,344,362,426,468,569,617,728,766,829,936,990,1051,1134,1185,1275,1341,1427,1498,1554,1658,1747,1824,1917,2001,2088,2174,2256,2375,2463,2682,2821,2936,3075,3204,3356,3481,3597,3746,3921,4050,4201,4351,4582,4780,4971,5140,5347,5556,5748,5952,6140,6359,6630,6844,7157,7431,7743,8000,8277,8610,8942,9316,9672,9970,10376,10741,11171,11645,12126,12526,12927,13409,15498,15921,16360
Confirmed,Eastern Mediterranean Region,16786,18060,19518,20759,22355,23669,25375,27215,29631,32442,35249,38931,42777,46329,50349,54281,58168,62236,65965,70293,74347,78565,81993,85350,88657,92226,95945,99713,103638,107389,111432,115824,120683,124691,129433,134470,139349,144450,149295,154971,160586,165933,171238,176928,182417,188585,194991,200609,206299,213376,221230,229198,237323,246022,255728,265164,274027,284270,293805,305189,315668,326568,338560,356749,361902,376379,389588,402919,415806,427832,438900,449590,461824,475419,489921,505001,520137,536148,552497,570026,587030,605026,623684,641429,658614,677338,696841,716151,737641,758551,778200,796759,817458,837497,856650
Deaths,Eastern Mediterranean Region,873,1010,1161,1312,1466,1596,1741,1877,2008,2162,2336,2508,2668,2813,2954,3115,3279,3438,3593,3794,3976,4149,4314,4459,4607,4771,4943,5107,5255,5395,5532,5662,5784,5908,6048,6185,6326,6469,6608,6750,6887,6991,7148,7304,7447,7598,7741,7871,7971,8115,8290,8465,8608,8748,8878,9013,9138,9259,9389,9558,9701,9841,9979,10149,10303,10468,10648,10806,10988,11164,11293,11452,11621,11833,12078,12353,12627,12899,13181,13458,13720,14024,14326,14602,14913,15246,15581,15947,16260,16640,17077,17558,18057,18575,19041
Confirmed,Region of the Americas,4910,4979,9144,13271,18877,19685,37016,49444,60834,75712,81137,100314,120792,142081,163014,188751,216912,247473,279543,315714,352592,384242,417416,454710,493173,536664,573940,610742,644986,673361,707121,743607,784272,821860,858631,893119,925291,957403,995510,1047508,1094846,1140520,1179607,1213088,1246190,1291917,1340591,1384641,1433756,1477447,1507148,1542829,1586129,1636841,1655378,1702451,1743717,1781564,1819553,1864468,1909483,1966932,2017811,2082945,2105670,2166003,2220267,2282488,2338124,2395295,2454452,2495924,2556479,2613092,2677500,2743793,2817232,2905432,2949455,3022824,3084517,3155370,3234875,3311387,3366251,3415174,3485245,3560591,3638525,3711768,3781538,3841609,3899859,4015386,4092526
Deaths,Region of the Americas,68,68,119,178,235,252,465,565,813,1065,1176,1485,1973,2457,2836,3400,4565,5600,6802,8187,9680,11097,12597,14775,17038,19294,21531,23759,25551,27336,30245,33028,35742,38258,40615,42686,44775,47812,50583,53103,56063,58492,60211,62404,65228,69087,72196,78409,77827,79590,81070,84804,87930,91893,98723,101874,104549,106504,109121,111934,115057,118799,121609,124668,125843,128649,131605,135184,138116,141472,143739,145810,148412,151212,154608,157702,160514,163248,165311,168553,172276,176167,179394,181804,183950,185863,189544,192944,196440,199252,201848,203574,205555,208991,212517
