Entity,Code,Year,"Upper secondary school age, female","Upper secondary school age, male","Lower secondary school age, female","Lower secondary school age, male","Primary school age, female","Primary school age, male"
Afghanistan,AFG,1974,,,386716,278392,878047,548462
Afghanistan,AFG,1993,,,,,1034842,766469
Afghanistan,AFG,2014,709279,438735,611119,241065,,
Albania,ALB,1999,,,,,5480,1899
Albania,ALB,2000,65526,61200,10187,7794,6330,4784
Albania,ALB,2001,63644,58103,8495,7476,7518,7516
Albania,ALB,2003,,,,,10409,10546
Albania,ALB,2004,,,,,10108,11620
Albania,ALB,2008,,,,,9747,9759
Albania,ALB,2009,,,,,13205,12473
Albania,ALB,2010,,,,,10487,9868
Albania,ALB,2011,,,,,7775,6574
Albania,ALB,2012,,,,,4395,3222
Albania,ALB,2013,16274,17180,5347,3286,4196,3346
Albania,ALB,2014,15321,14733,5108,2878,,
Algeria,DZA,1973,,,,,589807,291117
Algeria,DZA,1974,,,,,559643,236073
Algeria,DZA,1975,,,,,538301,207246
Algeria,DZA,1976,,,,,517774,185513
Algeria,DZA,1977,,,,,498428,175111
Algeria,DZA,1978,,,,,487011,172830
Algeria,DZA,1979,,,,,490898,185667
Algeria,DZA,1980,,,,,485119,176375
Algeria,DZA,1981,,,,,491048,181923
Algeria,DZA,1982,,,,,507138,198500
Algeria,DZA,1983,,,,,526871,226085
Algeria,DZA,1984,,,506800,289298,522045,218929
Algeria,DZA,1985,,,,,523184,229416
Algeria,DZA,1986,,,,,506303,224760
Algeria,DZA,1987,,,,,487538,213010
Algeria,DZA,1988,,,,,472496,202319
Algeria,DZA,1989,,,,,455074,191928
Algeria,DZA,1990,,,,,448068,190988
Algeria,DZA,1991,,,,,411661,163219
Algeria,DZA,1992,,,,,384899,151133
Algeria,DZA,1993,,,,,388898,177694
Algeria,DZA,1994,,,,,381226,194381
Algeria,DZA,1995,,,357801,194571,370065,198839
Algeria,DZA,1996,,,356038,205603,369571,221991
Algeria,DZA,1997,,,307495,179491,372087,244387
Algeria,DZA,1999,,,,,278997,200599
Algeria,DZA,2000,,,,,250964,186541
Algeria,DZA,2001,,,,,198374,135952
Algeria,DZA,2002,,,,,161366,110155
Algeria,DZA,2003,,,,,142680,98628
Algeria,DZA,2004,,,,,121260,79936
Algeria,DZA,2005,,,,,110495,70106
Algeria,DZA,2006,,,,,102663,61674
Algeria,DZA,2007,,,,,92175,57862
Algeria,DZA,2008,,,,,63036,32853
Angola,AGO,1982,,,127773,67792,281842,259983
Angola,AGO,1983,,,,,315254,286034
Angola,AGO,1998,,,,,467049,394708
Angola,AGO,2008,560942,527592,200932,70291,431230,264114
Angola,AGO,2009,575330,539321,213735,78342,463178,276094
Angola,AGO,2010,584364,532327,219775,49420,483922,218555
Angola,AGO,2011,,,,,525174,99258
Antigua and Barbuda,ATG,2007,,,,,472,435
Antigua and Barbuda,ATG,2008,,,,,392,394
Antigua and Barbuda,ATG,2009,338,264,,,494,344
Antigua and Barbuda,ATG,2010,,,,,754,391
Antigua and Barbuda,ATG,2011,,,,,773,570
Antigua and Barbuda,ATG,2012,,,,,786,712
Antigua and Barbuda,ATG,2014,265,216,131,42,800,684
Arab World,,1970,,,,,6099133,3835455
Arab World,,1971,,,,,6258468,3915994
Arab World,,1972,,,,,6260728,3856708
Arab World,,1973,,,,,6275221,3840513
Arab World,,1974,,,,,6355266,3829201
Arab World,,1975,,,,,6268758,3809172
Arab World,,1976,,,,,6192059,3685636
Arab World,,1977,,,,,6192170,3686846
Arab World,,1978,,,,,6218396,3703615
Arab World,,1979,,,,,6037277,3669372
Arab World,,1980,,,,,5934692,3641332
Arab World,,1981,,,,,5950425,3700818
Arab World,,1982,,,,,5953351,3757779
Arab World,,1983,,,,,5943431,3799583
Arab World,,1984,,,3284111,1981487,5879204,3743297
Arab World,,1985,,,2981288,1846711,5917946,3798479
Arab World,,1986,,,,,5882752,3797957
Arab World,,1987,,,,,5820334,3759705
Arab World,,1988,,,,,5818244,3804454
Arab World,,1989,,,,,5973560,3912109
Arab World,,1990,,,,,5794467,3886763
Arab World,,1991,,,,,5867619,4007349
Arab World,,1992,,,,,6643716,4414152
Arab World,,1993,,,3326714,2125258,6657386,4485661
Arab World,,1994,,,3419669,2196183,6210699,4316343
Arab World,,1995,,,3562528,2309503,6555482,4471355
Arab World,,1996,,,3486574,2301224,6050840,4279927
Arab World,,1997,,,3443703,2311762,6012905,4208260
Arab World,,1998,,,3413432,2322362,5829307,4196549
Arab World,,1999,,,3325194,2281758,5530311,4068087
Arab World,,2000,,,3246912,2229112,5310041,3927643
Arab World,,2001,,,3146564,2182930,4960962,3681743
Arab World,,2002,,,2985595,2090614,4680799,3482233
Arab World,,2003,,,2944709,2088785,4397883,3313271
Arab World,,2004,,,2825869,1947615,4250839,3168032
Arab World,,2005,5069304,4834477,2698282,1828976,4235128,3145012
Arab World,,2006,5109213,4950083,2632504,1802564,4218424,3100248
Arab World,,2007,5242275,5189661,2665872,1802387,4029001,3059049
Arab World,,2008,5255035,5171542,2503616,1699232,3861943,2948763
Arab World,,2009,5119832,5016676,2229600,1552028,3787421,2896864
Arab World,,2010,5009833,4908468,2181903,1530257,3580299,2739550
Arab World,,2011,4684891,4572347,2126849,1444844,3625814,2757283
Arab World,,2012,4519261,4395588,2128302,1312957,3351601,2756379
Arab World,,2013,4470166,4317207,2556557,1784788,3518214,2964355
Arab World,,2014,4427015,4265960,2393144,1705070,3677645,3149896
Argentina,ARG,1970,,,,,63661,97443
Argentina,ARG,1974,,,228886,260408,49849,63097
Argentina,ARG,1975,,,216526,246547,53942,67634
Argentina,ARG,1991,,,,,83647,89565
Argentina,ARG,1998,260212,339464,23659,34250,,
Argentina,ARG,1999,205758,282811,1016,36806,4292,6012
Argentina,ARG,2000,182034,254096,,,,
Argentina,ARG,2001,152976,226505,,,,
Argentina,ARG,2002,144091,219867,4504,28963,,
Argentina,ARG,2003,148445,230016,1430,32280,14135,5030
Argentina,ARG,2004,154527,250081,,,28812,4732
Argentina,ARG,2005,157802,263609,,,22803,4411
Argentina,ARG,2006,131729,254256,,,17580,4447
Argentina,ARG,2007,121563,257042,,,13082,4584
Argentina,ARG,2008,84055,236313,,,17222,6177
Argentina,ARG,2009,103172,242660,,,17761,5933
Argentina,ARG,2010,89246,215675,,,33903,5680
Argentina,ARG,2011,68563,195788,,,32045,4730
Argentina,ARG,2012,58253,180053,,,31673,3491
Argentina,ARG,2013,61927,172317,,,24780,3206
Armenia,ARM,2002,,,,,8931,11693
Armenia,ARM,2003,,,,,9154,12733
Armenia,ARM,2005,,,,,5293,11226
Armenia,ARM,2006,,,,,3183,9293
Armenia,ARM,2007,691,12019,921,15797,1023,7269
